NIRF_Rank,Institute,Placements_rating,Infrastructure_rating,Faculty_Course_Curriculum_rating,Crowd_Campus_Life_rating,Value_for_Money_rating,Learning_Experience_rating,Total_Reviews,Fees,Salary,Courses
33,"Kasturba Medical College, Mangalore, Manipal Academy of Higher Education4.",4.4,4.4,4.6,4.2,4.1,0.0,17.0,₹ 43.95 LakhSalary ,₹ 9.20 Lakh 30India Today ,Medical
34,,,,,,,,,₹ 2.10 LakhNot RankedIndia Today ,,Medical
35,GMCH Chandigarh - Government Medical College and Hospital4.,4.5,4.2,4.3,4.4,4.5,0.0,12.0,"₹ 78,37915India Today ",,Medical
35,"Maharishi Markandeshwar University, Mullana4.",3.9,4.3,4.3,4.3,4.1,0.0,579.0,₹ 1.23 LakhNot RankedIndia Today ,,Medical
37,Jamia Hamdard3.,3.3,3.9,4.0,4.0,3.6,0.0,279.0,₹ 5.80 LakhSalary ,₹ 4.95 Lakh Not RankedIndia Today ,Medical
38,AIIMS Raipur - All India Institute of Medical Sciences4.,4.1,4.7,4.3,4.5,4.7,0.0,11.0,"₹ 1,350Salary ",₹ 14.00 Lakh 24India Today ,Medical
39,"JSS Medical College, JSS Academy of Higher Education and Research4.",4.1,4.3,4.2,4.2,4.1,0.0,58.0,₹ 5.40 LakhSalary ,₹ 9.75 Lakh Not RankedIndia Today ,Medical
40,Dayanand Medical College and Hospital4.,4.3,4.4,4.3,4.1,4.3,0.0,7.0,₹ 11.00 LakhSalary ,₹ 4.32 Lakh 29India Today ,Medical
41,PSG Institute of Medical Sciences and Research4.,4.3,4.5,4.5,4.3,4.0,0.0,4.0,₹ 20.00 LakhSalary ,₹ 10.12 Lakh 43India Today ,Medical
42,"Government Medical College, Thiruvananthapuram4.",4.3,4.4,4.4,4.6,4.8,0.0,14.0,₹  1.04 LakhSalary ,₹ 6.10 Lakh Not RankedIndia Today ,Medical
43,S.M.S. Medical College4.,4.6,4.4,4.6,4.5,4.8,0.0,43.0,₹  5.37 LakhSalary ,₹ 8.95 Lakh Not RankedIndia Today ,Medical
44,Medical College4.,4.6,4.2,4.3,4.3,4.6,0.0,28.0,"₹  40,500Salary ",₹ 7.10 Lakh 25India Today ,Medical
45,,,,,,,,,,,Medical
46,M S Ramaiah Medical College4.,4.0,4.4,4.4,4.2,4.1,0.0,23.0,₹  6.35 LakhSalary ,₹ 6.60 Lakh 26India Today ,Medical
47,"Mahatma Gandhi Medical College and Research Institute, Sri Balaji Vidyapeeth4.",4.2,4.6,4.8,4.6,4.4,0.0,5.0,₹  1.20 CroresSalary ,₹ 18.23 Lakh 52India Today ,Medical
48,Osmania Medical College4.,4.2,3.9,4.2,4.4,4.7,0.0,33.0,,,Medical
49,Christian Medical College & Hospital Ludhiana3.,4.0,3.5,3.9,4.1,3.8,0.0,17.0,₹  33.00 LakhSalary ,₹ 4.90 Lakh 31India Today ,Medical
50,Pt. Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences4.,4.3,4.3,4.6,4.6,4.6,0.0,161.0,₹  3.60 LakhSalary ,₹ 11.79 Lakh 27India Today ,Medical
1,IIM Ahmedabad - Indian Institute of Management4.,4.4,4.3,4.5,4.5,4.4,0.0,126.0,₹ 25.00 LakhSalary ,₹ 31.58 Lakh Not RankedBusiness Today ,MBA
2,IIM Bangalore - Indian Institute of Management4.,4.8,4.6,4.6,4.8,4.7,0.0,60.0,₹ 24.50 LakhSalary ,₹ 32.61 Lakh Not RankedBusiness Today ,MBA
3,IIM Kozhikode - Indian Institute of Management4.,4.4,4.4,4.4,4.6,4.4,0.0,78.0,₹ 14.00 LakhSalary ,₹ 27.00 Lakh 4Business Today ,MBA
4,"Department of Management Studies, IIT Delhi4.",4.3,4.4,4.3,4.3,4.6,0.0,44.0,₹ 12.00 LakhSalary ,₹ 24.45 Lakh 14Business Today ,MBA
5,IIM Calcutta - Indian Institute of Management4.,4.5,4.4,4.4,4.6,4.3,0.0,47.0,₹ 25.00 LakhSalary ,₹ 31.05 Lakh 1Business Today ,MBA
6,Indian Institute of Management Mumbai4.,4.5,5.0,4.0,5.0,4.5,0.0,2.0,₹ 14.00 LakhNot RankedBusiness Today ,,MBA
7,"Indian Institute of Management , Lucknow4.",4.5,4.6,4.3,4.5,4.5,5.0,88.0,₹ 12.60 Lakh2Business Today ,,MBA
8,IIM Indore - Indian Institute of Management4.,4.2,4.5,4.4,4.5,4.2,0.0,222.0,,,MBA
9,XLRI Xavier School of Management4.,4.7,4.7,4.4,4.8,4.3,5.0,65.0,₹ 28.60 LakhSalary ,₹ 29.00 Lakh Not RankedBusiness Today ,MBA
11,Management Development Institute4.,4.7,4.3,4.3,4.6,4.2,0.0,23.0,₹ 26.00 LakhSalary ,₹ 26.20 Lakh 6Business Today ,MBA
12,IIM Rohtak - Indian Institute of Management4.,4.3,4.3,4.2,4.3,4.3,0.0,172.0,₹ 18.92 LakhSalary ,₹ 17.00 Lakh Not RankedBusiness Today ,MBA
13,"Symbiosis Institute of Business Management, Symbiosis International, Pune4.",4.4,4.6,4.1,4.7,4.2,4.5,85.0,₹ 24.20 LakhSalary ,₹ 26.04 Lakh 12Business Today ,MBA
14,IIM Raipur - Indian Institute of Management4.,4.1,4.0,4.2,4.2,4.1,0.0,115.0,₹ 16.28 LakhSalary ,₹ 17.50 Lakh 16Business Today ,MBA
15,"Indian Institute of Foreign Trade, Delhi4.",4.5,3.9,4.4,4.5,4.3,0.0,48.0,₹ 21.77 LakhSalary ,₹ 25.00 Lakh 7Business Today ,MBA
18,IIT Roorkee - Indian Institute of Technology4.,4.3,4.5,4.1,4.7,4.5,5.0,594.0,,,MBA
19,IIT Kharagpur - Indian Institute of Technology4.,4.4,4.4,4.3,4.7,4.5,0.0,593.0,₹ 5.00 LakhSalary ,₹ 14.00 Lakh Not RankedBusiness Today ,MBA
20,"S.P. Jain Institute of Management and Research, Mumbai4.",4.3,4.0,4.3,4.3,4.3,0.0,49.0,₹ 24.00 LakhSalary ,₹ 30.00 Lakh 3Business Today ,MBA
21,"Pravin Dalal School of Entrepreneurship and Family Business Management, NMIMS, Mumbai4.",3.2,4.4,4.6,4.6,4.1,0.0,11.0,₹ 22.90 LakhSalary ,₹ 20.00 Lakh Not RankedBusiness Today ,MBA
22,IIM Udaipur - Indian Institute of Management4.,4.2,4.1,4.5,4.4,4.2,0.0,75.0,₹ 18.21 Lakh15Business Today ,,MBA
23,IIM Kashipur - Indian Institute of Management4.,4.3,4.7,4.4,4.5,4.3,0.0,168.0,₹ 16.96 LakhSalary ,₹ 15.03 Lakh 27Business Today ,MBA
24,IIM Shillong - Indian Institute of Management4.,4.1,3.7,3.8,4.4,4.0,0.0,33.0,,₹ 25.00 Lakh 9Business Today ,MBA
25,Jamia Millia Islamia4.,3.6,4.3,4.2,4.4,4.6,3.7,843.0,"₹ 47,000Salary ",,MBA
27,IIM Trichy - Indian Institute of Management4.,4.2,4.7,4.6,4.2,4.3,0.0,49.0,₹ 19.50 LakhSalary ,₹ 18.24 Lakh 18Business Today ,MBA
28,"Amrita Vishwa Vidyapeetham, Coimbatore4.",4.1,4.0,4.2,4.0,3.9,5.0,971.0,₹ 2.20 LakhNot RankedBusiness Today ,,MBA
29,"Amity University, Noida4.",3.6,4.5,4.0,4.4,3.7,5.0,1845.0,₹ 7.80 LakhNot RankedBusiness Today ,,MBA
31,IIM Nagpur - Indian Institute of Management4.,4.5,4.1,4.2,4.3,4.5,4.0,13.0,₹ 19.70 LakhSalary ,₹ 17.04 Lakh 23Business Today ,MBA
32,MICA4.,4.2,4.5,4.3,4.9,4.1,0.0,37.0,₹ 26.00 LakhSalary ,₹ 18.00 Lakh Not RankedBusiness Today ,MBA
33,IIM Bodh Gaya - Indian Institute of Management4.,4.2,3.6,4.3,3.9,4.3,0.0,112.0,₹ 9.60 LakhSalary ,₹ 12.00 Lakh 40Business Today ,MBA
34,"Great Lakes Institute of Management, Chennai4.",3.9,4.7,4.6,4.4,4.0,0.0,78.0,₹ 11.50 Lakh17Business Today ,,MBA
35,IMT Ghaziabad - Institute of Management Technology4.,3.9,4.3,4.2,4.5,4.0,0.0,263.0,₹ 20.80 LakhSalary ,₹ 15.00 Lakh 11Business Today ,MBA
36,Chandigarh University (CU)4.,4.1,4.4,4.1,4.3,4.1,3.8,4725.0,₹ 6.68 LakhNot RankedBusiness Today ,,MBA
37,Goa Institute of Management4.,4.1,4.6,4.2,4.6,4.0,0.0,145.0,₹ 19.40 LakhSalary ,₹ 14.60 Lakh 24Business Today ,MBA
38,LPU - Lovely Professional University4.,4.0,4.5,4.1,4.5,4.1,4.4,4434.0,₹ 8.00 LakhNot RankedBusiness Today ,,MBA
39,IFHE Hyderabad - ICFAI Foundation For Higher Education3.,3.5,4.3,4.0,4.3,3.5,0.0,571.0,₹ 1.80 LakhNot RankedBusiness Today ,,MBA
40,"International Management Institute, New Delhi4.",4.2,3.6,4.6,4.3,3.9,0.0,213.0,₹ 22.00 LakhSalary ,₹ 16.60 Lakh 10Business Today ,MBA
41,UPES4.,3.9,4.3,4.2,4.2,3.7,0.0,795.0,₹ 17.33 LakhNot RankedBusiness Today ,,MBA
42,IIM Jammu - Indian Institute of Management4.,4.0,3.5,4.2,4.0,4.0,0.0,79.0,₹ 13.07 LakhSalary ,₹ 15.00 Lakh Not RankedBusiness Today ,MBA
43,"Xavier Institute of Management, XIM University4.",4.2,4.2,4.4,4.6,3.9,4.0,70.0,₹ 22.00 LakhSalary ,₹ 18.37 Lakh Not RankedBusiness Today ,MBA
44,LM Thapar School of Management4.,3.8,4.7,4.2,4.1,3.9,0.0,53.0,₹ 10.56 LakhNot RankedBusiness Today ,,MBA
45,Jaipuria Noida - Jaipuria Institute of Management4.,3.9,4.1,4.2,4.0,3.8,0.0,451.0,₹ 15.75 Lakh65Business Today ,,MBA
46,IIT Dhanbad (ISM) - Indian Institute of Technology (ISM)4.,4.1,4.1,4.0,4.3,4.3,0.0,587.0,₹ 3.00 LakhSalary ,₹ 10.19 Lakh Not RankedBusiness Today ,MBA
47,IIM Amritsar - Indian Institute of Management4.,4.6,3.9,4.7,4.3,4.6,0.0,63.0,₹ 14.20 LakhSalary ,₹ 16.00 Lakh 33Business Today ,MBA
48,Banaras Hindu University4.,3.8,4.2,4.2,4.5,4.6,0.0,1565.0,"₹ 99,314Salary ",₹ 9.00 Lakh Not RankedBusiness Today ,MBA
49,"Institute of Rural Management, Anand4.",4.4,4.6,4.6,4.7,4.6,0.0,53.0,₹ 13.60 LakhSalary ,₹ 15.00 Lakh 29Business Today ,MBA
50,"Indian Institute of Management , Sambalpur4.",4.1,4.2,4.7,4.0,4.2,4.0,19.0,₹ 18.50 LakhSalary ,₹ 13.15 Lakh 38Business Today ,MBA
51,NIT Trichy - National Institute of Technology4.,4.4,4.3,4.1,4.5,4.5,0.0,366.0,₹ 1.40 LakhSalary ,₹ 8.70 Lakh Not RankedBusiness Today ,MBA
52,"Great Lakes Institute of Management, Gurgaon4.",4.0,4.4,4.8,4.2,4.2,0.0,58.0,₹ 7.75 LakhSalary ,₹ 11.50 Lakh Not RankedBusiness Today ,MBA
53,FORE School of Management3.,4.0,3.3,4.2,3.8,3.9,0.0,411.0,₹ 20.77 LakhSalary ,₹ 15.00 Lakh Not RankedBusiness Today ,MBA
54,"Chitkara College of Sales and Marketing, Chitkara University, Chandigarh4.",4.2,4.6,4.4,4.3,4.4,0.0,9.0,₹ 3.30 LakhSalary ,₹ 11.06 Lakh Not RankedBusiness Today ,MBA
56,International Management Institute4.,4.0,4.7,4.4,4.4,4.0,0.0,80.0,₹ 14.00 LakhSalary ,₹ 12.48 Lakh 54Business Today ,MBA
57,IIM Sirmaur - Indian Institute of Management4.,4.0,3.8,4.3,4.2,4.1,0.0,72.0,₹ 16.80 LakhSalary ,₹ 12.50 Lakh Not RankedBusiness Today ,MBA
58,"T A Pai Management Institute, Manipal, MAHE4.",4.0,4.3,4.3,4.3,4.0,0.0,88.0,₹ 13.02 LakhSalary ,₹ 13.50 Lakh 21Business Today ,MBA
59,Graphic Era Deemed to be University4.,3.9,4.3,4.3,4.2,3.9,4.0,759.0,₹ 7.17 LakhSalary ,₹ 7.50 Lakh Not RankedBusiness Today ,MBA
60,Christ University4.,3.9,4.5,4.1,4.5,4.2,0.0,1616.0,,,MBA
61,IMI Bhubaneswar - International Management Institute4.,4.1,4.6,4.5,4.3,3.9,0.0,112.0,₹ 14.30 LakhSalary ,₹ 12.00 Lakh 52Business Today ,MBA
62,SOA University - Siksha 'O' Anusandhan4.,3.9,4.3,4.2,4.1,3.9,0.0,1100.0,₹ 7.40 LakhSalary ,₹ 4.80 Lakh Not RankedBusiness Today ,MBA
63,K J Somaiya Institute of Management4.,3.9,4.4,4.1,4.3,4.3,0.0,202.0,₹ 21.34 LakhSalary ,₹ 12.00 Lakh 25Business Today ,MBA
64,Birla Institute of Management Technology3.,3.7,4.1,4.2,4.0,3.6,0.0,225.0,₹ 14.00 LakhSalary ,₹ 10.50 Lakh 31Business Today ,MBA
65,Guru Gobind Singh Indraprastha University3.,3.4,4.1,3.9,4.0,4.0,0.0,544.0,₹ 3.70 LakhSalary ,₹ 6.18 Lakh Not RankedBusiness Today ,MBA
66,Loyola Institute of Business Administration4.,4.0,4.2,4.2,4.4,4.3,4.3,37.0,₹ 18.89 LakhSalary ,₹ 11.00 Lakh 42Business Today ,MBA
68,MNIT Jaipur - Malaviya National Institute of Technology4.,4.0,4.4,4.0,4.4,4.2,0.0,861.0,₹ 2.00 LakhNot RankedBusiness Today ,,MBA
70,Aligarh Muslim University4.,3.8,4.2,4.3,4.3,4.7,4.7,844.0,₹ 5.87 LakhSalary ,₹ 5.26 Lakh Not RankedBusiness Today ,MBA
71,"Alliance University, Bangalore3.",3.4,4.4,4.1,4.1,3.6,0.0,205.0,,,MBA
72,Jaipuria Lucknow - Jaipuria Institute of Management4.,3.9,3.9,4.4,4.1,4.0,0.0,223.0,₹ 14.75 Lakh61Business Today ,,MBA
73,"Manipal University, Jaipur4.",3.5,4.7,4.1,4.5,3.7,4.8,641.0,₹ 10.20 LakhSalary ,₹ 8.00 Lakh Not RankedBusiness Today ,MBA
74,"Saveetha Institute of Medical and Technical Sciences, Poonamallee4.",3.8,4.3,4.1,4.4,3.9,0.0,19.0,,,MBA
75,Jaipuria Jaipur - Jaipuria Institute of Management4.,4.3,4.5,4.5,4.4,4.2,0.0,135.0,₹ 13.75 LakhNot RankedBusiness Today ,,MBA
76,NIT Calicut - National Institute of Technology4.,4.1,3.9,4.0,4.4,4.2,0.0,389.0,₹ 3.00 LakhSalary ,₹ 9.00 Lakh 69Business Today ,MBA
77,"Jain Deemed-to-be University, Bangalore3.",3.9,3.9,4.1,4.1,3.7,4.2,566.0,,₹ 8.10 Lakh Not RankedBusiness Today ,MBA
78,Jamia Hamdard3.,3.3,3.9,4.0,4.0,3.6,0.0,279.0,₹ 5.00 LakhSalary ,₹ 5.52 Lakh Not RankedBusiness Today ,MBA
80,PSGCT Coimbatore4.,4.4,4.2,4.3,4.4,4.6,0.0,236.0,,,MBA
81,"Cochin University of Science and Technology, Kochi4.",3.9,3.7,4.1,4.1,4.2,0.0,414.0,₹ 1.22 LakhSalary ,₹ 7.50 Lakh Not RankedBusiness Today ,MBA
82,Thiagarajar School of Management4.,3.9,4.3,4.3,4.2,4.3,0.0,81.0,₹ 11.00 LakhSalary ,₹ 7.50 Lakh Not RankedBusiness Today ,MBA
84,"Prin. L. N. Welingkar Institute of Management Development and Research, Mumbai4.",3.7,4.3,4.1,4.1,3.7,0.0,239.0,₹ 14.00 LakhSalary ,₹ 10.00 Lakh Not RankedBusiness Today ,MBA
85,Atal Bihari Vajpayee Indian Institute of Information Technology and Management3.,4.0,4.1,3.5,4.0,4.0,0.0,111.0,₹ 3.20 LakhNot RankedBusiness Today ,,MBA
86,"Babasaheb Bhimrao Ambedkar University (BBAU), Lucknow3.",2.6,3.8,3.8,3.9,3.6,0.0,105.0,₹ 1.80 LakhSalary ,₹ 10.40 Lakh Not RankedBusiness Today ,MBA
87,"Jagan Institute of Management Studies, Rohini4.",4.0,3.9,4.5,4.1,4.2,0.0,302.0,₹ 9.90 LakhSalary ,₹ 9.05 Lakh 58Business Today ,MBA
88,New Delhi Institute of Management4.,4.0,3.8,4.3,3.9,3.9,0.0,359.0,₹ 12.75 LakhSalary ,₹ 12.00 Lakh Not RankedBusiness Today ,MBA
90,"Birla Institute of Technology, Mesra3.",4.0,4.0,3.7,4.3,3.7,0.0,675.0,₹ 6.04 LakhSalary ,₹ 8.00 Lakh Not RankedBusiness Today ,MBA
91,National Institute of Bank Management4.,4.5,4.2,4.7,4.2,4.6,0.0,27.0,₹ 13.72 LakhSalary ,₹ 15.00 Lakh Not RankedBusiness Today ,MBA
92,Panjab University3.,3.4,3.7,3.9,4.2,4.1,4.6,963.0,"₹ 87,560Salary ",₹ 12.42 Lakh Not RankedBusiness Today ,MBA
93,Rajagiri Business School4.,4.0,4.2,4.4,4.6,3.9,0.0,14.0,₹ 7.50 LakhSalary ,₹ 6.50 Lakh Not RankedBusiness Today ,MBA
94,"Bharathidasan Institute of Management, Trichy (BIM, Trichy)4.",4.3,3.7,4.5,4.3,4.3,0.0,38.0,₹ 13.73 LakhSalary ,₹ 10.40 Lakh Not RankedBusiness Today ,MBA
95,Tezpur University4.,3.1,4.4,4.0,4.4,4.2,0.0,163.0,"₹ 62,792Salary ",₹ 8.00 Lakh Not RankedBusiness Today ,MBA
96,National Institute of Agricultural Extension Management (MANAGE)4.,4.8,4.6,4.5,4.6,4.9,0.0,22.0,₹ 8.50 LakhSalary ,₹ 10.35 Lakh 36Business Today ,MBA
97,"Institute of Management Technology, Hyderabad4.",4.1,4.4,4.4,4.4,4.2,0.0,73.0,₹ 14.77 LakhSalary ,₹ 11.00 Lakh 53Business Today ,MBA
98,Galgotias University4.,3.9,4.0,4.1,4.1,3.9,0.0,2064.0,₹ 3.08 Lakh137Business Today ,,MBA
99,"IFMR Graduate school of Business, KREA University (IFMR GSB), Sricity4.",3.9,3.9,4.2,4.1,3.9,0.0,100.0,₹ 14.16 LakhSalary ,₹ 13.10 Lakh Not RankedBusiness Today ,MBA
100,NIT Warangal - National Institute of Technology4.,4.3,4.1,4.0,4.4,4.3,0.0,623.0,₹ 1.40 LakhSalary ,₹ 12.00 Lakh Not RankedBusiness Today ,MBA
125,"Amity University, Gurugram4.",4.1,4.6,4.4,4.4,4.1,0.0,476.0,₹ 9.92 LakhSalary ,₹ 5.51 Lakh 92Business Today ,MBA
125,"Amity University, Patna3.",3.6,3.7,4.4,3.5,3.8,0.0,45.0,₹ 6.66 Lakh134Business Today ,,MBA
125,"Amity University, Ranchi4.",3.8,3.9,4.2,3.9,4.0,0.0,85.0,₹ 7.16 LakhSalary ,₹ 4.80 Lakh 133Business Today ,MBA
125,"Chandigarh Group of Colleges, Landran4.",4.3,4.2,4.1,4.4,4.2,0.0,1561.0,₹ 3.30 LakhNot RankedBusiness Today ,,MBA
125,"Chandigarh Group of Colleges, Jhanjeri4.",4.3,4.3,4.4,4.4,4.3,0.0,1093.0,₹ 1.32 Lakh192Business Today ,,MBA
125,Chandragupt Institute of Management4.,4.0,4.4,4.0,3.7,4.2,0.0,12.0,₹ 7.50 LakhSalary ,₹ 5.50 Lakh 149Business Today ,MBA
125,GLA University4.,4.1,4.2,4.2,4.1,4.0,0.0,1412.0,₹ 5.70 LakhNot RankedBusiness Today ,,MBA
