NIRF_Rank,Institute,Placements_rating,Infrastructure_rating,Faculty_Course_Curriculum_rating,Crowd_Campus_Life_rating,Value_for_Money_rating,Learning_Experience_rating,Total_Reviews,Fees,Salary,Courses
54,IIT Bhubaneswar - Indian Institute of Technology4.,4.0,4.3,4.3,4.2,4.2,0.0,111.0,₹ 8.00 LakhSalary ,₹ 11.30 Lakh Not RankedIndia Today ,B.Tech
55,NIT Patna - National Institute of Technology4.,4.2,3.9,4.2,4.1,4.3,0.0,666.0,₹ 5.00 LakhNot RankedIndia Today ,,B.Tech
57,Netaji Subhas University of Technology4.,4.2,3.8,3.8,4.0,4.1,0.0,980.0,₹ 3.95 Lakh8India Today ,,B.Tech
58,"National Institute of Technology, Jalandhar3.",3.9,3.9,3.7,4.0,3.9,0.0,755.0,₹ 2.50 Lakh29India Today ,,B.Tech
59,"Sardar Vallabhbhai National Institute of Technology, Surat4.",3.9,4.2,3.7,4.3,4.0,0.0,640.0,₹ 5.00 LakhSalary ,₹ 11.00 Lakh Not RankedIndia Today ,B.Tech
60,MNNIT Allahabad - Motilal Nehru National Institute of Technology4.,4.4,3.6,3.9,4.1,4.3,0.0,716.0,₹ 6.92 LakhSalary ,₹ 11.40 Lakh Not RankedIndia Today ,B.Tech
61,IIT Tirupati - Indian Institute of Technology4.,3.7,4.3,4.3,4.2,4.2,0.0,47.0,₹ 8.00 LakhSalary ,₹ 20.32 Lakh Not RankedIndia Today ,B.Tech
62,IIT Jammu - Indian Institute of Technology4.,4.0,4.3,4.1,4.1,4.3,0.0,69.0,₹ 8.00 LakhNot RankedIndia Today ,,B.Tech
64,"Manipal University, Jaipur4.",3.5,4.7,4.1,4.5,3.7,4.8,641.0,₹ 18.04 LakhSalary ,₹ 8.00 Lakh 52India Today ,B.Tech
64,IIT Palakkad - Indian Institute of Technology4.,3.9,3.9,4.0,4.0,4.0,0.0,35.0,₹ 8.00 LakhSalary ,₹ 12.00 Lakh Not RankedIndia Today ,B.Tech
